Month,Page_Count
2022-03,543.0
2022-04,1416.0
2022-05,719.0
2022-06,683.0
2022-09,474.0
2022-11,604.0
2023-01,914.0
2023-03,320.0
2023-05,678.0
2023-06,733.0
2023-07,624.0
2023-08,864.0
2023-10,524.0
2023-11,1044.0
2023-12,929.0
2024-01,805.0
2024-03,1212.0
2024-05,43.0
2024-06,336.0
2024-07,463.0
2024-09,388.0
2024-10,432.0
2024-12,546.0
