Month,Saved
2022-03,58.0
2022-04,141.0
2022-05,54.0
2022-06,56.0
2022-09,59.0
2022-11,42.0
2023-01,29.0
2023-03,53.0
2023-05,58.0
2023-06,81.0
2023-07,73.0
2023-08,54.0
2023-10,78.0
2023-11,71.0
2023-12,41.0
2024-01,126.0
2024-03,78.0
2024-05,59.0
2024-06,30.0
2024-07,58.0
2024-09,52.0
2024-10,58.0
2024-12,56.0
